03/15/2023 10:15:00,How Does RDi Compare with VS Code's IBM i Extension?,,Charles,Guarino,Central Park Data Systems,CEO & IBM Champion,"Charles Guarino believes in the “power” of IBM Power Systems. His career reflects his dedication and interest in bringing the platform and its solutions to others and as a result has been recognized as an IBM Champion.

He is a member of COMMON’s Speaker Excellence Hall of Fame and a proud recipient of the Al Barsa Memorial Scholarship Award. Additionally, he participates on COMMON’s Strategic Education Team. Other professional endeavors have included the roles of President and monthly Q&A host for many years of the Long Island System User’s Group LISUG (www.lisug.org)
In the spring of 2020 Charles created the monthly virtual IBMi iChime community. Each meeting features a “No PowerPoint” discussion with an industry expert. To learn more visit https://www.centralparkdata.com/ichime-dates.html

Today, along with the team at Central Park Data Systems, he is serving individuals and companies on a worldwide basis though his consulting work and award-winning speaking engagements. Charles is a true people person and can often be found at conferences sharing his expertise on RDi and other IBM i topics.
Charles can be reached at cguarino@centralparkdata.com.
LinkedIn - http://www.linkedin.com/in/guarinocharles
Twitter - @charlieguarino",Geneva 2
03/15/2023 14:15:00,One Order of Refactoring with a Side of RDi,,Charles,Guarino,Central Park Data Systems,CEO & IBM Champion,"Charles Guarino believes in the “power” of IBM Power Systems. His career reflects his dedication and interest in bringing the platform and its solutions to others and as a result has been recognized as an IBM Champion.

He is a member of COMMON’s Speaker Excellence Hall of Fame and a proud recipient of the Al Barsa Memorial Scholarship Award. Additionally, he participates on COMMON’s Strategic Education Team. Other professional endeavors have included the roles of President and monthly Q&A host for many years of the Long Island System User’s Group LISUG (www.lisug.org)
In the spring of 2020 Charles created the monthly virtual IBMi iChime community. Each meeting features a “No PowerPoint” discussion with an industry expert. To learn more visit https://www.centralparkdata.com/ichime-dates.html

Today, along with the team at Central Park Data Systems, he is serving individuals and companies on a worldwide basis though his consulting work and award-winning speaking engagements. Charles is a true people person and can often be found at conferences sharing his expertise on RDi and other IBM i topics.
Charles can be reached at cguarino@centralparkdata.com.
LinkedIn - http://www.linkedin.com/in/guarinocharles
Twitter - @charlieguarino",Geneva 2
03/16/2023 12:45:00,Keynote,,Charles,Guarino,Central Park Data Systems,CEO & IBM Champion,"Charles Guarino believes in the “power” of IBM Power Systems. His career reflects his dedication and interest in bringing the platform and its solutions to others and as a result has been recognized as an IBM Champion.

He is a member of COMMON’s Speaker Excellence Hall of Fame and a proud recipient of the Al Barsa Memorial Scholarship Award. Additionally, he participates on COMMON’s Strategic Education Team. Other professional endeavors have included the roles of President and monthly Q&A host for many years of the Long Island System User’s Group LISUG (www.lisug.org)
In the spring of 2020 Charles created the monthly virtual IBMi iChime community. Each meeting features a “No PowerPoint” discussion with an industry expert. To learn more visit https://www.centralparkdata.com/ichime-dates.html

Today, along with the team at Central Park Data Systems, he is serving individuals and companies on a worldwide basis though his consulting work and award-winning speaking engagements. Charles is a true people person and can often be found at conferences sharing his expertise on RDi and other IBM i topics.
Charles can be reached at cguarino@centralparkdata.com.
LinkedIn - http://www.linkedin.com/in/guarinocharles
Twitter - @charlieguarino",Geneva 1
03/16/2023 15:45:00,What's Going on With My Code (Debugging with RDi),,Charles,Guarino,Central Park Data Systems,CEO & IBM Champion,"Charles Guarino believes in the “power” of IBM Power Systems. His career reflects his dedication and interest in bringing the platform and its solutions to others and as a result has been recognized as an IBM Champion.

He is a member of COMMON’s Speaker Excellence Hall of Fame and a proud recipient of the Al Barsa Memorial Scholarship Award. Additionally, he participates on COMMON’s Strategic Education Team. Other professional endeavors have included the roles of President and monthly Q&A host for many years of the Long Island System User’s Group LISUG (www.lisug.org)
In the spring of 2020 Charles created the monthly virtual IBMi iChime community. Each meeting features a “No PowerPoint” discussion with an industry expert. To learn more visit https://www.centralparkdata.com/ichime-dates.html

Today, along with the team at Central Park Data Systems, he is serving individuals and companies on a worldwide basis though his consulting work and award-winning speaking engagements. Charles is a true people person and can often be found at conferences sharing his expertise on RDi and other IBM i topics.
Charles can be reached at cguarino@centralparkdata.com.
LinkedIn - http://www.linkedin.com/in/guarinocharles
Twitter - @charlieguarino",Geneva 1
03/14/2023 08:00:00,A Walk into the World of IT - WIT Seminar,"We are delighted to invite your instructors and students to attend our annual Women in IT Day at our Spring Wisconsin Midrange Computer Professional Association (WMCPA) Conference.

This will be an all-day event, which will be held on March 14, 2023, starting at 8:00 am to 4:00 pm, and being held at Lake Lawn Resort, 2400 E Geneva St, Delavan, WI 53115.

Event: A Walk into the World of IT

Details: We’ll be walking through a real-world business case from the eyes of the business down to the IT developers who have to make the changes the business requires. We will also look at different disciplines in IT which include, project management, networking, hardware, and full-stack development.

The event will be educational and a networking opportunity for your students and instructors to interact with individuals working in IT.",Nilofur,Khan,iTech Solutions | A Service Express Company,Sales and Marketing Development Specialist,"Nilofur is a Sales and Marketing Development Specialist at iTech Solutions | A Service Express Company. With over 15 years of experience in Healthcare, Management, and Customer Service, she brings many skills to the plate. She is a strong believer in helping others succeed. Nilo attended Benedictine University and Moraine Valley (in Illinois) majoring in Computer Science. She also completed both, IBM i Concepts & Operations, and Programming in ILE RPG through imPower Technologies, and received a Professional Certificate for Project Management through Google.

Nilofur is on the Board of Directors for WMCPA (Wisconsin Midrange Computer Professional Association),and on the WIT Committee, (Women in IT),

She is also named 2022 TechChannel Power Systems Rising Star, previously known as IBM Fresh Face. ",Geneva 1
03/14/2023 09:00:00,IBM i Security with a Modern Twist,"Gone are the days of managing IBM i Security using green-screen commands! IBM has provided mechanisms to allow us to manage security
using IBM i Services (SQL) and Navigator for i. During this session Carol will describe the fundamentals of security using these modern
interfaces. She will also show how to use Function Usage, Auditing and Authority Collection to help you manage the security on your IBM i
partitions.
Learning objectives:
• The basics of IBM i Security – security-relevant system values, user profiles and permissions using Navigator for i and IBM i Services
• The basics of IBM i Auditing and how to use IBM i table functions as well as how audit entries are manifested in Navigator for i
• Authority Collection: what it is and how you can use it to reduce permissions
• Using Function Usage (Application Administration) to reduce access to IBM i features",Carol,Woodbury,DXR Security,"President, CTO, Co-Founder","With over 25 years experience in the area of IT security, Carol is known world-wide as an expert in the area of computer security. During her career, Carol has architected security solutions for Fortune 100 companies as well as small and medium-sized organizations. Carol is passionate about sharing her knowledge of IBM i Security and helping clients make improvements to their IBM i Security one step (bite-sized chunk) at a time rather than overwhelming them with a huge list of risks. Carol has been an IBM Power Champion since 2018.

Carol is an educator, architect, designer, implementer and an award-winning speaker, specializing in IBM i Security.

Carol is a Certified Information Systems Security Professional, Certified in Risk and Information Systems Control (CRISC), has her PCIP certification and is a member of the ISACA organization.

Carol has written many books. IBM i Security and Administration, 3rd edition is available at MCPressOnline or amazon.com. Her latest book, Mastering IBM i Security is a ‘how to’ guide for implementing and managing security using SQL Services, New Nav and ACS. It includes all the latest in IBM i 7.5 and can be ordered from MCPressOnline https://www.mc-store.com/products/mastering-ibm-i-security",Geneva 2
03/14/2023 13:00:00,WIT Keynote Speaker | Turning an IT Job into a Passion,"Hear Debbie's journey through a long enjoyable career in IT which resulted in IBM i Backup and Recovery becoming her passion. She will share the challenges and rewards while balancing a career and family. You will learn how IT can be fun and why you should "" Never Give Up"".",Debbie,Saugen,"Debbie Saugen Consulting, LLC",Owner,"Debbie Saugen is recognized worldwide as an expert on IBM i backup and recovery, disaster recovery, and high availability. Debbie's IBM career spanned 37 years serving as the Technical Owner of IBM i Backup/Recovery and the IBM i National Lead for IBM Resiliency Services. She continues to work directly with the Backup Recovery and Media Services (BRMS) developers to drive new enhancements.
A COMMON Gold Medal Speaker, she enjoys sharing her knowledge speaking at conferences and user groups, along with publishing articles. As an independent consultant, Debbie is passionate about ensuring all her clients are recovery ready no matter what situation they may face. ",Geneva 1
03/14/2023 16:00:00,IBM i Security: Tactical Risk Reduction,"IBM I security can be a huge hill to conquer. Steve will present a marathon three-hour session to leave no stone unturned, no door
unlocked and help you plan for the future. We will leave the platitudes at the door and get down to the business of locking our
systems down properly and effectively.",Steve,Pitcher,iTech Solutions | A Service Express Company,,"Steve has been involved with IBM i since 2001 primarily in the manufacturing and distribution industries. Over that period he’s been a systems administrator, developer, IT Manager and IT Director. He joined iTech Solutions in 2017 in a combined sales/technical role, bringing additional expertise in security, IBM Lotus Domino and WebSphere.
A longtime IBM Champion, first as part of the inaugural group for IBM Collaboration Solutions (2011) and then as an IBM Champion for Power Systems (2016-present), you’ll find Steve speaking at events around the world about IBM i administration, modernization and security. He’s been a community advocate on the COMMON Americas Advisory Council since 2012 and is currently serving on the COMMON Board of Directors. ",Geneva 2
03/14/2023 18:00:00,Expert Roundtable | Topic: The Importance of Modernization on Power,,Mike,Pavlak,Perforce Software,Solution Architect,"Mike Pavlak has been working with IBM midrange solutions since 1992 and IBM Mainframes before that. After years of developing applications using RPG, CL and PHP he managed IT development and IT for power protection manufacturer Tripp Lite. Later Mike was instrumental in developing the adoption of PHP as a primary solution for web development on IBM i working with Zend Technologies. Today, as Solutions Engineer with Perforce, Mike helps companies around the world approach the challenges of modernization and open source technologies. In addition to several roles as a volunteer with COMMON the premier IBM midrange user group, Mike also teaches PHP & Python classes part time at Moraine Valley Community College in Suburban Chicago. ",Geneva 1
03/15/2023 08:30:00,Modernize Your ERP with IDF for IBM i,"Did you know you can easily modernize your IBM i experience with IDF? In this session,
you will learn how you can easily:
Modernize your green screen RPG applications
Allow your end users to personalize the browser UI by adding or removing columns, changing filters and sorts, and much more
Develop new features
Fit your application into the larger ecosystem with lightweight API’s that automatically come with the application and any enhancements you add
This Java-based, multi-user interface, metadata-driven framework provides you with a tremendous amount of functionality in a low-code or no-code implementation.",Phil,Joseph,Info,Senior Product Manager,"Phil Joseph's career began with implementing software systems on System/3X at IBM in Indiana. Since then he ahs been an IBM manager and consultant, followed by stints outside IBM as a Product Manager for ERP system in Atlanta. In 2008 he was one of five founders of a mobility company that was eventually purchased by Hexagon. Last May he returned to Info where he is IDF Product Manager.  ",Courtyard 2
